0000
433,432,432,431,432,432,430,430,430,429
430,429,428,428,428,427,424,423,425,424
422,422,422,423,423,423,421,423,423,422
422,423,421,420,420,419,416,418,417,418
414,416,414,413,412,410,408,408,407,410
407,406,404,404,403,402,401,400,401,399
398,397,396,394,394,393,391,392,390,389
389,387,388,388,386,384,385,382,382,381
379,379,377,377,375,373,372,368,368,366
367,364,362,361,360,360,358,358,357,357
356,356,358,358,358,360,362,361,364,366
370,369,373,376,378,379,381,383,382,386
384,386,385,386,386,384,384,385,384,383
383,381,378,374,367,360,351,338,333,324
320,283,283,283,283,286,289,295,299,293
290,286,286,284,285,288,286,289,290,290
295,295,299,303,304,306,306,308,309,307
311,310,307,307,307,306,309,304,304,305
303,301,300,299,296,292,286,285,278,276
271,270,265,267,263,261,260,255,254,253
252,252,250,249,246,244,244,241,241,239
238,238,237,236,231,233,232,232,229,227
226,227,225,225,222,222,223,222,225,224
223,225,224,223,224,218,221,219,218,217
219,218,214,215,214,215,210,212,210,207
210,207,207,207,204,206,205,205,204,200
205,201,202,201,201,198,197,194,195,193
193,192,189,188,191,190,190,191,192,187
195,205,202,196,196,195,196,197,195,193
192,194,197,194,189,188,195,189,188,187
185,65534,65534,65534,65534,65534,65534,65534,65534,65534
0000
